cenario,catalise,bioquimica,tempo_apos_formacao_gyr,tempo_cosmico_gyr,temperatura_k
Rapido,fixa,Carbono/agua,0.539807,7.6314,319.434
Rapido,fixa,Carbono/agua,0.791649,10.0273,299.216
Rapido,fixa,Carbono/agua,0.345611,3.32705,341.47
Rapido,fixa,Carbono/agua,15.7814,19.4383,278.018
Rapido,fixa,Carbono/agua,2.1456,8.39271,292.968
Rapido,fixa,Carbono/agua,2.50873,4.5261,303.163
Rapido,fixa,Carbono/agua,8.28482,16.0554,287.091
Rapido,fixa,Carbono/agua,0.328955,5.1801,347.437
Rapido,fixa,Carbono/agua,0.475527,3.93596,315.096
Rapido,fixa,Carbono/agua,2.81282,8.75279,302.44
Rapido,fixa,Carbono/agua,9.48046,11.5967,280.059
Rapido,fixa,Carbono/agua,7.17212,11.9519,281.076
Rapido,fixa,Carbono/agua,1.36147,5.00922,298.953
Rapido,fixa,Carbono/agua,0.372904,7.2832,332.677
Rapido,fixa,Carbono/agua,0.635588,4.71906,308.394
Rapido,fixa,Carbono/agua,0.362848,3.11333,336.372
Rapido,fixa,Carbono/agua,0.520626,4.65456,315.862
Rapido,fixa,Carbono/agua,1.13901,9.54411,304.716
Rapido,fixa,Carbono/agua,8.52274,19.5023,289.705
Rapido,fixa,Carbono/agua,0.374216,5.30812,334.469
Rapido,fixa,Carbono/agua,0.326732,4.09664,344.086
Rapido,fixa,Carbono/agua,2.51912,10.6805,300.674
Rapido,fixa,Carbono/agua,1.33685,6.11666,309.708
Rapido,fixa,Carbono/agua,0.394697,12.178,321.152
